
2024/07/08 (10:37:15) | ===> btop++ v.1.3.2
2024/07/08 (10:37:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/08 (10:37:15) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/08 (22:14:25) | ===> btop++ v.1.3.2
2024/07/08 (22:14:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/08 (22:14:25) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/09 (22:52:41) | ===> btop++ v.1.3.2
2024/07/09 (22:52:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/09 (22:52:41) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/10 (22:54:37) | ===> btop++ v.1.3.2
2024/07/10 (22:54:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/10 (22:54:37) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/11 (18:57:07) | ===> btop++ v.1.3.2
2024/07/11 (18:57:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/11 (18:57:07) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/12 (16:16:40) | ===> btop++ v.1.3.2
2024/07/12 (16:16:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/12 (16:16:40) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/12 (22:21:23) | ===> btop++ v.1.3.2
2024/07/12 (22:21:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/12 (22:21:23) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/19 (18:55:40) | ===> btop++ v.1.3.2
2024/07/19 (18:55:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/19 (18:55:40) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/27 (21:19:07) | ===> btop++ v.1.3.2
2024/07/27 (21:19:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/27 (21:19:07) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/02 (17:42:56) | ===> btop++ v.1.3.2
2024/08/02 (17:42:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/02 (17:42:56) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/06 (19:44:03) | ===> btop++ v.1.3.2
2024/08/06 (19:44:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/06 (19:44:03) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/11 (18:24:00) | ===> btop++ v.1.3.2
2024/08/11 (18:24:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/11 (18:24:00) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/11 (20:18:26) | ===> btop++ v.1.3.2
2024/08/11 (20:18:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/11 (20:18:26) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/11 (20:18:53) | ===> btop++ v.1.3.2
2024/08/11 (20:18:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/11 (20:18:53) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/13 (15:55:57) | ===> btop++ v.1.3.2
2024/08/13 (15:55:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/13 (15:55:57) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/16 (17:04:04) | ===> btop++ v.1.3.2
2024/08/16 (17:04:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/16 (17:04:04) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/21 (18:56:43) | ===> btop++ v.1.3.2
